Libros,Genero
Let My Puppets Come,Comedy
How to Lose Friends & Alienate People,Comedy
Boy A,Crime|Drama
Robin Hood,Adventure|Animation|Children|Comedy|Musical
Universal Soldier: Day of Reckoning,Action|Sci-Fi|Thriller
Rabbit à la Berlin (Królik po berlinsku),Documentary|War
Ice Princess,Children|Comedy|Drama
Iron Eagle II,Action|War
"Boy Called Hate, A",Drama
Winds of the Wasteland,Western
"Welcome Home, Roscoe Jenkins",Comedy
Carry on Cruising,Comedy|Romance
Oxford Blues,Comedy|Drama
Lady for a Day,Comedy
Airplane II: The Sequel,Comedy
"Steal Big, Steal Little",Comedy
They Came to Cordura,Western
April Fool's Day,Horror
Crime Busters,Action|Adventure|Comedy|Crime
So Ends Our Night,Drama|War
"Player's Club, The",Comedy|Drama
Mississippi Grind,Drama
Caddyshack II,Comedy
Song of the South,Adventure|Animation|Children|Musical
Lost in America,Comedy
"Century of Cinema, A",Documentary
What Will You Do When You Catch Me? (Co mi zrobisz jak mnie zlapiesz?),Comedy|Crime
Lucky: No Time For Love,Action|Adventure|Drama|Musical|Romance|Thriller|War
Max Dugan Returns,Comedy
Tis kakomoiras,Comedy
"Rookie, The",Drama
Gomorrah (Gomorra),Crime|Drama
Four Daughters,Drama|Romance
"Kevin Nealon: Whelmed, But Not Overly",Comedy
Educating Rita,Comedy|Drama
Hollywood Ending,Comedy|Drama
Me and My Sister,Comedy
She's Having a Baby,Comedy
How to Rob a Bank,Comedy|Crime|Mystery|Thriller
Keith,Drama|Romance
Made,Comedy
Crawlspace,Horror|Thriller
Valerie,Drama
"Bigger, Stronger, Faster*",Documentary
Wuthering Heights,(no genres listed)
"Class of 92, The",Documentary
Sleep Tight (Mientras duermes),Horror|Thriller
My Own Man,(no genres listed)
Heavens Fall,Drama
"Personal Journey with Martin Scorsese Through American Movies, A",Documentary
Return of the Street Fighter (Satsujin ken 2),Action|Crime|Drama
Stuart Little,Children|Comedy|Fantasy
"Bridge on the River Kwai, The",Adventure|Drama|War
Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma),Crime|Film-Noir|Horror|Romance|Thriller
Happy Christmas,Comedy|Drama
Detropia,Documentary
Road Kill (a.k.a. Road Train),Horror|Sci-Fi|Thriller
Anastasia,Adventure|Animation|Children|Drama|Musical
Watermarks,Documentary
True Love,Comedy
Alaska: Spirit of the Wild,Documentary|IMAX
Beat the Devil,Adventure|Comedy|Crime|Drama|Romance
"Kidnapping of the President, The",Action|Drama|Thriller
Tinpis Run,Comedy|Drama
"Waiting Game, The",Comedy
"Canterville Ghost, The",Comedy|Fantasy
Empire of the Wolves (L'empire des loups),Action|Drama|Thriller
Percy Jackson & the Olympians: The Lightning Thief,Adventure|Fantasy
The Things of Life,Drama|Romance
Vanya on 42nd Street,Drama
Dobermann,Action|Crime
"Chambre en ville, Une (Room in Town, A)",Drama|Musical
Is Anybody There?,Drama
Annapolis,Drama
Patton Oswalt: My Weakness Is Strong,Comedy
Tarzan and the Lost City,Action|Adventure
Bread and Roses,Drama
Buckskin Frontier,Action|Western
Daughter of the Nile (Ni luo he nu er),Drama
Madhouse,Comedy
Prozac Nation,Drama
The Derby Stallion,Children|Drama
"Ten, The",Comedy
